0,"Our friends won't buy this analysis, let alone the next one we propose.",1
1,One more pseudo generalization and I'm giving up.,1
2,One more pseudo generalization or I'm giving up.,1
3,"The more we study verbs, the crazier they get.",1
4,Day by day the facts are getting murkier.,1
5,I'll fix you a drink.,1
6,Fred watered the plants flat.,1
7,Bill coughed his way out of the restaurant.,1
8,We're dancing the night away.,1
9,Herman hammered the metal flat.,1
10,The critics laughed the play off the stage.,1
11,The pond froze solid.,1
12,Bill rolled out of the room.,1
13,The gardener watered the flowers flat.,1
14,The gardener watered the flowers.,1
15,Bill broke the bathtub into pieces.,1
16,Bill broke the bathtub.,1
17,They drank the pub dry.,1
18,They drank the pub.,0
19,The professor talked us into a stupor.,1
20,The professor talked us.,0
21,We yelled ourselves hoarse.,1
22,We yelled ourselves.,0
23,We yelled Harry hoarse.,0
24,Harry coughed himself into a fit.,1
25,Harry coughed himself.,0
26,Harry coughed us into a fit.,0
27,Bill followed the road into the forest.,1
28,We drove Highway 5 from SD to SF.,1
29,Fred tracked the leak to its source.,1
30,John danced waltzes across the room.,1
31,Bill urinated out the window.,1
32,Bill coughed out the window.,1
33,Bill bled on the floor.,1
34,The toilet leaked through the floor into the kitchen below.,1
35,Bill ate off the floor.,1
36,Bill drank from the hose.,1
37,This metal hammers flat easily.,1
38,They made him president.,1
39,They made him angry.,1
40,They caused him to become angry by making him.,0
41,They caused him to become president by making him.,0
42,They made him to exhaustion.,0
43,They made him into a monster.,1
44,The trolley rumbled through the tunnel.,1
45,The wagon rumbled down the road.,1
46,The bullets whistled past the house.,1
47,The knee replacement candidate groaned up the stairs.,1
48,The car honked down the road.,0
49,The dog barked out of the room.,0
50,The dog barked its way out of the room.,1
51,Bill whistled his way past the house.,1
52,The witch vanished into the forest.,1
53,Bill disappeared down the road.,1
54,The witch went into the forest by vanishing.,0
55,The witch went into the forest and thereby vanished.,1
56,The building is tall and wide.,1
57,The building is tall and tall.,0
58,This building is taller and wider than that one.,1
59,This building got taller and wider than that one.,1
60,This building got taller and taller.,1
61,This building is taller and taller.,0
62,This building got than that one.,0
63,This building is than that one.,0
64,Bill floated into the cave.,1
65,Bill floated into the cave for hours.,0
66,Bill pushed Harry off the sofa for hours.,0
67,Bill floated down the river for hours.,1
68,Bill floated down the river.,1
69,Bill pushed Harry along the trail for hours.,1
70,Bill pushed Harry along the trail.,1
71,The road zigzagged down the hill.,1
72,The rope stretched over the pulley.,1
73,The weights stretched the rope over the pulley.,1
74,The weights kept the rope stretched over the pulley.,1
75,Sam cut himself free.,1
76,Sam got free by cutting his finger.,1
77,Bill cried himself to sleep.,1
78,Bill cried Sue to sleep.,0
79,Bill squeezed himself through the hole.,1
80,Bill sang himself to sleep.,1
81,Bill squeezed the puppet through the hole.,1
82,Bill sang Sue to sleep.,1
83,The elevator rumbled itself to the ground.,0
84,"If the telephone rang, it could ring itself silly.",1
85,She yelled hoarse.,0
86,Ted cried to sleep.,0
87,The tiger bled to death.,1
88,"He coughed awake and we were all overjoyed, especially Sierra.",1
89,"John coughed awake, rubbing his nose and cursing under his breath.",1
90,John coughed himself awake on the bank of the lake where he and Bill had their play.,1
91,Ron yawned himself awake.,1
92,She coughed herself awake as the leaf landed on her nose.,1
93,The worm wriggled onto the carpet.,1
94,The chocolate melted onto the carpet.,1
95,The ball wriggled itself loose.,0
96,Bill wriggled himself loose.,1
97,Aliza wriggled her tooth loose.,1
98,The off center spinning flywheel shook itself loose.,1
99,"The more you eat, the less you want.",1
100,"If you eat more, you want correspondingly less.",1
101,"When you eat more, you want correspondingly less.",1
102,"As you eat more, you want correspondingly less.",1
103,"The most you want, the least you eat.",0
104,"The angrier Sue gets, the more Fred admires her.",1
105,"The more that you eat, the less that you want.",1
106,"The angrier that Sue gets, the more that Fred admires her.",1
107,"I think that the more you eat, the less you want.",1
108,"I'm not shocked by the idea that the more you eat, the less you want.",1
109,"It is obvious that the more you eat, the less you want.",1
110,"It is not entirely clear if the more you eat, the less you want.",1
111,"I want to explain exactly why the more you eat, the less you want.",1
112,"I demand that the more John eats, the more he pays.",1
113,"I demand that the more John eat, the more he pay.",0
114,"I demand that John pay more, the more he eats.",1
115,"I demand that John pays more, the more he eat.",0
116,"You get angrier, the more we eat, don't you.",1
117,"You get angrier, the more we eat, don't we.",0
118,"The harder it has rained, how much faster a flow that appears in the river?",0
119,"The harder it has rained, how much faster a flow appears in the river?",1
120,"The harder it rains, how much faster that do you run?",0
121,"The harder it rains, how much faster do you run?",1
122,"The harder it rains, how much faster a flow do you see in the river?",1
123,"The harder it rains, how much faster a flow that do you see in the river?",0
124,"When it rains harder, how much faster a flow appears in the river?",1
125,"As it rains harder, how much faster a flow appears in the river?",1
126,"As it rains harder, how much faster a flow that appears in the river?",0
127,"When it rains harder, how much faster a flow that appears in the river?",0
128,"How much harder has it rained, the faster a flow you see in the river?",1
129,"How much harder has it rained, when you see a faster flow in the river?",1
130,"The more John eats, the tighter keep your mouth shut about it.",0
131,"The more everyone eat, the more John keeps his big mouth shut about it, OK?",0
132,"When John eats more, keep your mouth shut tighter, OK?",1
133,"As John eats more, keep your mouth shut tighter, OK?",1
134,"Keep your mouth shut tighter, the more John eats, OK?",1
135,"Everyone keep your mouth shut tighter, the more John eats, OK?",1
136,"I can well imagine the more him eating, the fatter him getting.",0
137,Bill can well imagine getting fat.,1
138,"Bill can well imagine the more he eats, the fatter getting.",0
139,"Fred can well imagine Joe getting fatter, the more he eats.",1
140,"It is important the more you eat, the more careful to be.",0
141,"It is important for the more you eat, the more careful to be.",0
142,"It is important the more you to eat, the more careful to be.",0
143,"It is important the more you eat, the more careful you to be.",0
144,"It is important the more you eat, the more careful for you to be.",0
145,"It is important for the more you to eat, the more careful to be.",0
146,"It is important for the more you to eat, the more careful for you to be.",0
147,"It is important the more you to eat, the more careful for you to be.",0
148,"It is important for the more you eat, the more careful you to be.",0
149,"It is important for you to be more careful, the more you eat.",1
150,"It is important to be more careful, the more you eat.",1
151,I can well imagine quickly Mary answering the question.,0
152,I can well imagine with a hatchet Mary destroying the Jeep.,0
153,"I can well imagine if he eats more, him getting fat.",0
154,"It is not entirely obvious if, Mary listens to the Grateful Dead, she gets depressed.",0
155,"It is not entirely obvious whether, Mary listens to the Grateful Dead, she gets depressed.",0
156,Mary listens to the Grateful Dead and she gets depressed.,1
157,"If Mary listens to the Grateful Dead, she gets depressed.",1
158,"When Mary listens to the Grateful Dead, she gets depressed.",1
159,Mary gets depressed if she listens to the Grateful Dead.,1
160,Mary gets depressed when she listens to the Grateful Dead.,1
161,"The more she looked at pictures, the angrier Mary got.",1
162,"The more pictures Mary looked at, she got angrier and angrier.",0
163,Mary gets depressed and she listens to the Grateful Dead.,1
164,"The higher the stakes are, the lower his expectations are.",1
165,"The higher the stakes, the lower his expectations.",1
166,"His expectations are lower, the higher the stakes.",1
167,"His expectations are lower, the higher the stakes are.",1
168,"His expectations lower, the higher the stakes.",0
169,"His expectations lower, the higher the stakes are.",0
170,"The more obnoxious Fred is, the less attention you should pay to him.",1
171,"The more obnoxious Fred, the less attention you should pay to him.",0
172,"The more Fred is obnoxious, the less you should pay attention to him.",1
173,"The more obnoxious Fred, the less you should pay attention to him.",0
174,His expectations are always lower than mine.,1
175,John was lots more obnoxious than Fred was.,1
176,"You should always lock your door, no matter how fancy the hotel might be.",1
177,"You should always lock your door, no matter how fancy the hotel.",1
178,"I don't plan to lock the door, no matter how fancy this hotel is.",1
179,"I don't plan to lock the door, no matter how fancy this hotel.",0
180,"I'm going out, whatever the weather.",1
181,"I'm going out, wherever that hurricane might be.",1
182,"I'm going out, wherever that hurricane.",0
183,The more examples Mary says that Bill has helped Fred to discover the less I believe her.,1
184,The more food Mary knows a man that eats the poorer she gets.,0
185,The fatter he goes to a doctor when he gets the more he eats.,0
186,"The fatter that that he gets bothers him, the more he eats.",0
187,"The more books I ask to whom he will give, the more he reads.",0
188,The more people I ask what he will give to the more he reads.,0
189,The more carefully he words the letter the safer he'll be.,1
190,The more carefully he knows a man that worded the letter the safer he'll be.,0
