0,lighthearted comedy ,1
1,a wild ride that relies on more than special effects ,1
2,natural affability ,1
3,they wo n't much care about ,0
4,pretentious ,0
5,banal bore the preachy circuit turns out to be ,0
6,"the film fits into a genre that has been overexposed , redolent of a thousand cliches , and yet remains uniquely itself , vibrant with originality . ",1
7,gross-out college comedy ,0
8,without merit ,0
9,the rest of the cast was outshined by ll cool j. ,1
10,"no one involved , save dash , shows the slightest aptitude for acting ",0
11,powerfully drawn toward the light -- the light of the exit sign ,0
12,another useless recycling of a brutal mid - ,0
13,"the three leads produce adequate performances , but what 's missing from this material is any depth of feeling ",0
14,"a horror movie with seriously dumb characters , which somewhat dilutes the pleasure of watching them stalked by creepy-crawly bug things that live only in the darkness . ",0
15,of b-movie excitement ,1
16,the huskies are beautiful ,1
17,an encyclopedia of cliches that shoplifts shamelessly from farewell-to-innocence movies like the wanderers and a bronx tale without cribbing any of their intelligence ,0
18,ludicrous and contrived ,0
19,of its sense of fun or energy ,1
20,what makes it worth a recommendation ,1
21,casts its spooky net ,1
22,that attracts the young and fit ,1
23,kicks into gear ,1
24,this comic gem ,1
25,this tale has been told and retold ,0
26,a visual spectacle ,1
27,is still a deeply moving effort to put a human face on the travail of thousands of vietnamese ,1
28,extremely languorous rhythms ,0
29,too bad ,0
30,"the most complex , generous and subversive artworks of the last decade ",1
31,remarkable and memorable film ,1
32,is a feast for the eyes . ,1
33,the best 60 minutes ,1
34,a powerful 1957 drama we 've somehow never seen before ,1
35,a delicious and delicately funny look ,1
36,"is pleasant , diverting and modest -- definitely a step in the right direction . ",1
37,"wilco fans will have a great time , and the movie should win the band a few new converts , too ",1
38,"for all its brooding quality , ash wednesday is suspenseful and ultimately unpredictable , with a sterling ensemble cast . ",1
39,the characters move with grace and panache ,1
40,not only learning but inventing a remarkable new trick . ,1
41,"understand that the idea of exploiting molestation for laughs is funny , not actually exploiting it yourself ",0
42,terrible ,0
43,pretty moments ,1
44,overwhelmed by its lack of purpose ,0
45,reporting on the number of tumbleweeds blowing through the empty theaters ,0
46,it becomes a chore to sit through -- despite some first-rate performances by its lead ,0
47,is a shapeless inconsequential move relying on the viewer to do most of the work . ,0
48,"its premise is smart , but the execution is pretty weary . ",0
49,an undeniably intriguing film from an adventurous young talent who finds his inspiration on the fringes of the american underground ,1
50,wrapping the theater ,1
51,", its shortness disappoints ",0
52,to blast even the smallest sensitivities from the romance with his clamorous approach ,0
53,too sappy for its own good ,0
54,"i 've seen some bad singer-turned actors , ",0
55,a testament to the integrity and vision of the band ,1
56,a lot of stamina and vitality ,1
57,so intimate and sensual and funny ,1
58,with an appropriate minimum of means ,1
59,technical triumph ,1
60,"life , hand gestures , and ",0
61,bring something new into the mix ,1
62,it is refreshingly undogmatic about its characters . ,1
63,", paxton , making his directorial feature debut , does strong , measured work . ",1
64,poetic tragedy ,0
65,of a-list brit actors ,1
66,"at times a bit melodramatic and even a little dated ( depending upon where you live ) , ignorant fairies is still quite good-natured and not a bad way to spend an hour or two . ",1
