0,Where did the tribes that were almost annihilated in the Battle of Vercellae hail from?,"At the Battle of Aquae Sextiae and the Battle of Vercellae both tribes were virtually annihilated, which ended the threat.",1
1,What is the name of a former Asian Portuguese colony?,"These include traders and merchants of mixed Portuguese and Chinese ancestry from Macau, a former Asian Portuguese colony.",0
2,Electricity production is expected to increase by what percentage each year for the next 25 years?,"It is the most widely used form of renewable energy, accounting for 16 percent of global electricity generation – 3,427 terawatt-hours of electricity production in 2010, and is expected to increase about 3.1% each year for the next 25 years.",0
3,Which two Amiibo figures reload Link's stock of arrows?,"Special bundles of the game contain a Wolf Link Amiibo figurine, which unlocks a Wii U-exclusive dungeon called the ""Cave of Shadows"" and can carry data over to the upcoming 2016 Zelda game.",1
4,Who serves as the representative of the Director of National Intelligence?,"At an FBI field office, a senior-level FBI officer concurrently serves as the representative of the Director of National Intelligence.",0
5,When did Vitruvius write his canons?,Texts on architecture have been written since ancient time.,1
6,When did Nigeria's economy become larger than South Africa's?,"Nigeria is considered to be an emerging market by the World Bank; It has been identified as a regional power on the African continent, a middle power in international affairs, and has also been identified as an emerging global power.",1
7,how often did the Indian fleet voyage to Mocha?,"The Mughal convoy included the treasure-laden Ganj-i-Sawai, reported to be the greatest in the Mughal fleet and the largest ship operational in the Indian Ocean, and its escort, the Fateh Muhammed.",1
8,During what years was the Aztec Empire conquered?,"When the Spanish conquistador Hernán Cortés and his soldiers conquered the Aztec Empire in 1519-1521, they discovered slowly that the Aztecs had another treasure beside silver and gold; they had the tiny cochineal, a parasitic scale insect which lived on cactus plants, which, when dried and crushed, made a magnificent red.",0
9,Who built the first Colossus in 1943?,"To crack the more sophisticated German Lorenz SZ 40/42 machine, used for high-level Army communications, Max Newman and his colleagues commissioned Flowers to build the Colossus.",0
10,Where were the Zapatist forces from?,"Zapatist forces, which were based in neighboring Morelos had strengths in the southern edge of the Federal District, which included Xochimilco, Tlalpan, Tláhuac and Milpa Alta to fight against the regimes of Victoriano Huerta and Venustiano Carranza.",0
11,What was La Malinche essential to?,"Subsequently given along with other women to the invading Spaniards, she became instrumental in the Spanish conquest of Mexico, acting as interpreter, adviser, intermediary and lover to Hernán Cortés.",0
12,How much healthy fat in in the average serving of poultry?,Chicken meat contains about two to three times as much polyunsaturated fat as most types of red meat when measured by weight.,0
13,How many start-ups are associated with the Rubicon Center?,"In CIT, The Rubicon Centre is a business innovation hub that is home to 57 knowledge based start-up companies.",0
14,What invaders are causing changes along the North American Atlantic coast?,In some cases the invaders are causing drastic changes and damage to their new habitats (e.g.: zebra mussels and the emerald ash borer in the Great Lakes region and the lion fish along the North American Atlantic coast).,0
15,What is the name of the feature that allows users to download games from Live?,"The release of these additional services and peripherals helped the Xbox brand grow from gaming-only to encompassing all multimedia, turning it into a hub for living-room computing entertainment.",1
16,What specific fact do Christians believe about death?,Christians believe that through faith in Jesus’ substitutionary death and triumphant resurrection people are reunited with God and receive new joy and power in this life as well as eternal life in heaven after the body’s death.,0
17,"There were four corps of the Ottoman Army, what were they?","The main corps of the Ottoman Army included Janissary, Sipahi, Akıncı and Mehterân.",0
18,The Concordat of 1801 strengthened the position of which church as the majority church of France?,It solidified the Roman Catholic Church as the majority church of France and brought back most of its civil status.,0
19,When was the next session scheduled?,The first session ended in a solemn ceremony on 8 December 1962 with the next session scheduled to occur in 1963 from 12 May to 29 June – this was announced on 12 November 1962.,0
20,How many times have the Leeside Lions won the Australian Rules Football League of Ireland Premiership?,"Cork Racing, a motorsport team based in Cork, has raced in the Irish Formula Ford Championship since 2005.",1
21,Those with high levels of identity diffusion are classified as what?,"Weinreich's identity variant similarly includes the categories of identity diffusion, foreclosure and crisis, but with a somewhat different emphasis.",1
22,When did a committee oppose the FBI's organized crime informant program?,""" The FBI allowed four innocent men to be convicted of the March 1965 gangland murder of Edward ""Teddy"" Deegan in order to protect Vincent Flemmi, an FBI informant.",1
23,What can a wrestler do to show a willing submission?,"Also, since Ken Shamrock (a legitimate UFC competitor in its early days) popularized it in 1997, a wrestler can indicate a voluntary submission by ""tapping out"", that is, tapping a free hand against the mat or against an opponent.",0
24,In what century did the Caliphate conquer North Africa?,"It covered much of Western Europe, but later succumbed to the pressures of internal civil wars combined with external invasions—Vikings from the north, Magyars from the east, and Saracens from the south.",1
25,What Ostrogothic leader led his people into Italy?,"The Ostrogoths settled in Italy in the late 5th century under Theoderic (d. 526) and set up a kingdom marked by its co-operation between the Italians and the Ostrogoths, at least until the last years of Theodoric's reign.",0
