2658,Which comic book was not spawned directly from the pulp magazines ?,1
1634,What is the name of the American swimmer who won seven gold medals in the 1972 Olympics ?,3
596,What video game hero do some of his fans call Chomper ?,3
3316,Who was Damocles ?,3
652,What is the belt of low pressure around the equator called ?,1
1782,Who is considered The First Lady of the American Stage ?,3
3848,What drink contains as many types of rum as possible ?,1
1255,Who was with Patricia Hearst the night she was kidnaped ?,3
1501,What was the species of Winnie the Pooh ?,1
1302,"What magazine gives us the cream , not the skim ?",1
4211,What Democratic prankster waved the train out of the station while Richard Nixon spoke from the caboose ?,3
2077,Who made the first surfboard ?,3
1029,What are the names of all the U.S. Navy aircraft carriers ?,1
3686,What color is most often used to symbolize truth ?,1
96,What company 's logo is a `` W '' in a circle ?,3
3948,What U.S. President was the first to breed mules ?,3
1438,What is the protagonist 's name in Dostoevski 's `` The Idiot '' ?,3
745,What are the two languages of Malta ?,1
1626,What is a fear of color ?,1
3827,Who makes chicken `` finger lickin '' good ?,3
195,Who created Dennis the Menace ?,3
802,What U.S. President showed a fondness for munching on bee pollen bars ?,3
4248,What religion has the most members ?,1
3033,With whom did Bush compare Saddam Hussein ?,3
644,Name the organization that is presided by a Security Council .,3
1477,What sport is played on the largest field ?,1
2436,Which organization is the Security Council a part of ?,3
5266,Who is the richest person in the world ?,3
5251,What is the recipe or formula for Coca-Cola ?,1
3573,"Which U.S. President is buried in Washington , D.C. ?",3
2303,Which two inventors invented Post-its ?,3
2902,Name a female figure skater .,3
4529,What is a fear of night or darkness ?,1
134,What are the most common elements in the Earth 's crust ?,1
2917,Who portrayed Carl Bernstein in All the President 's Men ?,3
4238,"What Frenchman claimed the following ? If God did not exist , it would be necessary to invent him . ''",3
2417,What is the only primate to lack pigment in the palms of its hands ?,1
1476,What is the name of the firm that makes Spumante ?,3
1485,What army 's motto is Blood and Fire ?,3
4888,Name a medicine commonly used to combat AIDS ?,1
3211,What were the ceremony traditions like during the Elizabethian times ?,1
2409,Who is Johnny Carson ?,3
2005,What does the method called `` cold fusion '' create ?,1
602,Name the operating system that runs on IBM-compatible machines .,1
4920,What gender is not allowed to vote in Kuwait ?,1
2892,What are the most albums sold by one artist or band ?,1
1966,What was paper made of in the late 16th century ?,1
274,Who was the 16th President of the United States ?,3
3184,Which of the following famous people does not paint as a hobby ?,3
3017,What son of a 15-year-old Mexican girl and a half-Irish father became the world 's most famous Greek ?,3
1672,Which sex is twice as likely to contract leprosy ?,1
3064,Which glamorous actress is a close friend of Dick Tracy ?,3
4295,What singer 's hit song inspired the Dolly Parton Stallone movie Rhinestone ?,3
4667,What college did Joe Namath play football for ?,3
3161,Who plays shortstop for Charlie Brown 's baseball team ?,3
150,Who founded the People 's Temple Commune ?,3
3732,Who founded the first aerodynamics laboratory in 1912 ?,3
4004,Who released the Internet worm in the late 1980s ?,3
4412,What title did Shevardnadze have during the Soviet era ?,3
2611,What `` marvelous '' major-league baseball player is now a spokesman for a beer company ?,3
378,"Who wrote the song , `` Stardust '' ?",3
4393,Who was the lawyer for Randy Craft ?,3
2700,What television network flogged its sports programming on Inga Nielsen 's body in 197 ?,3
841,"What Boris Pasternak book sold 5 , 0 copies to become the fiction best-seller of 1958 ?",1
4806,"What indoor sport saw the Phoenix Inferno become the Phoenix Pride on July 14 , 1983 , when the temperature hit 111 degrees ?",1
5222,Which presidents of the USA were Masons ?,3
175,What Indian tribe is F Troop perpetually doing battle with ?,3
927,What plant is rum made from ?,1
45,What 1920s cowboy star rode Tony the Wonder Horse ?,3
3680,What tennis player has the nickname `` Nasty '' ?,3
2086,Who is the Greek God of the Sea ?,3
4970,What kind of women gave Sigmund Freud erotic dreams ?,3
507,Who is the superstar in rent-a-cars ?,3
4840,What does a pedometer measure ?,1
3858,What are the top 10 colleges in the United States in the field of engineering ?,3
1832,What culture developed the idea of potlatch ?,3
2458,Who 's won the most Oscars for costume design ?,3
4478,Which sex is denied voting rights in Kuwait ?,1
218,What shrubs can be planted that will be safe from deer ?,1
3901,What businesses in Alaska were affected by the Exxon Valdez oil spill ?,3
4075,Which German president was pressured into appointing Hitler chancellor in 1933 ?,3
3276,What is a 2-sided object called ?,1
2647,What are some good exercises for kids to do ?,1
4651,Name of the lady the Great Gatsby pines for ?,3
1018,Who invented batteries ?,3
